,"Id","Label","name_cluster","nom_cluster","cluster.y","nom_cluster.1","nom_cluster.2","nom_cluster.3"
"84",84,"claude le guyader","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"87",87,"collectifs","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"99",99,"conditions de travail","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"112",112,"coopérative agricole","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"113",113,"coopérative triskalia","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"177",177,"faute inexcusable","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"215",215,"intoxication aux pesticides","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"249",249,"marche des cobayes","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"278",278,"nutréa-triskalia","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"283",283,"omerta","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"354",354,"reconnaissance","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"379",379,"salariés","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"399",399,"soutien aux victimes","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"423",423,"travail","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"427",427,"triskalia","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"440",440,"victimes","Nutréa-Triskalia","L'affaire Triskalia",16,"L'affaire Triskalia","L'affaire Triskalia","Affaire Triskalia"
"23",23,"alternative écologique","La Loi Alimentation","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"30",30,"animal","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"31",31,"animal domestique","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"54",54,"bicarbonate de soude","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"88",88,"colmar","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"152",152,"efficaces","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"191",191,"gènes de résistance","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"211",211,"insectes","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"222",222,"laboratoires de recherche","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"257",257,"mildiou","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"277",277,"nouvelles variétés","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"279",279,"œuf","Résidu de pesticides","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"281",281,"oïdium","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"293",293,"parasite","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"317",317,"plantes","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"344",344,"punaise","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"345",345,"punaises de lit","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"346",346,"punaises diaboliques","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"347",347,"purin d'orties","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"350",350,"ravageurs","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"368",368,"résistances","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"415",415,"terre de diatomée","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"419",419,"traitements","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"444",444,"vignes résistantes","Luttes contre les nuisibles","La lutte contre les nuisibles",8,"La lutte contre les nuisibles","La lutte contre les nuisibles","Les espèces nuisibles"
"7",7,"adultes","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"33",33,"antilles","Biodiversité","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"39",39,"ars","Biodiversité","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"48",48,"autorités sanitaires","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"63",63,"brésil","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"69",69,"cancers","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"70",70,"cas de malformations","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"71",71,"cas de microcéphalies","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"73",73,"cause à effet","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"81",81,"chlordécone","Biodiversité","Le virus Zika",7,"Le virus Zika","Le virus Zika","Chlordécone"
"116",116,"corrélation","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"178",178,"femmes","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"179",179,"femmes enceintes","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"185",185,"foetus","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"199",199,"grossesse","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"202",202,"guadeloupe","Biodiversité","Le virus Zika",7,"Le virus Zika","Le virus Zika","Chlordécone"
"227",227,"lien de cause","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"248",248,"malformations","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"251",251,"martinique","Biodiversité","Le virus Zika",7,"Le virus Zika","Le virus Zika","Chlordécone"
"252",252,"médecin","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"255",255,"microcéphalies","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
"265",265,"moustique","Perturbateurs endocriniens","Le virus Zika",7,"Le virus Zika","Le virus Zika","Le virus Zika"
