,"Id","Label","name_cluster","nom_cluster","cluster.y","nom_cluster.1","nom_cluster.2","nom_cluster.3"
"97",97,"concentration supérieure","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"106",106,"consommateurs","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"108",108,"contrôle","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"182",182,"fipronil","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"188",188,"futures","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"189",189,"génération","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"209",209,"industrie alimentaire","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"228",228,"limite","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"229",229,"limite réglementaire","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"230",230,"limites maximales","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"232",232,"liste des produits","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"233",233,"lmr","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"276",276,"nourrissons","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"288",288,"oxyde d'éthylène","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"359",359,"réglementation européenne","Pollutions chimiques","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"365",365,"résidus","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"367",367,"résidus de pesticides","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"402",402,"substance toxique","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"417",417,"traces","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"418",418,"traces de fipronil","Résidu de pesticides","Résidus de pesticides dans l'alimentation",1,"Sécurité de l’alimentation","Contamination des milieux","Sécurité des aliments"
"10",10,"agents pathogènes","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"19",19,"algue","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"26",26,"alzheimer","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"86",86,"cnrs","Nutréa-Triskalia","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"135",135,"docteur","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"148",148,"effet","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"150",150,"effets délétères","Nutréa-Triskalia","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"206",206,"hypothyroïdie","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"244",244,"maladie","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"245",245,"maladies cardiovasculaires","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"287",287,"origine","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"326",326,"problème","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"339",339,"protéines","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"360",360,"règles douloureuses","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"390",390,"sélénium","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"407",407,"symptômes","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"409",409,"syndrome","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"410",410,"syndrome prémenstruel","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"412",412,"système endocrinien","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"413",413,"systèmes","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"416",416,"thyroïde","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"428",428,"troubles","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"429",429,"troubles respiratoires","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"449",449,"vitamines","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"452",452,"zinc","Perturbateurs endocriniens","Troubles de santé",4,"Troubles de santé","Troubles de santé","Troubles de santé"
"11",11,"agriconomie","Expositions des riverains","Zéro phyto",10,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"13",13,"agriculteurs bio","Expositions des riverains","Zéro phyto",10,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"43",43,"associations","Expositions des riverains","Zéro phyto",10,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"164",164,"espace","Expositions des riverains","Zéro phyto",10,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"165",165,"espaces verts","Expositions des riverains","Zéro phyto",10,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"172",172,"expériences","Développement durable","Zéro phyto",10,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"173",173,"expérimentation","Développement durable","Zéro phyto",10,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"450",450,"zéro phyto","Expositions des riverains","Zéro phyto",10,"Plan écophyto","Régulation des pesticides","Plan écophyto"
